Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
THE CLAREMONT SALES CORP.,5,,,CAPITAL HARDWARE/ELGEN,98710,,,779987650,205617.36,,,754895000,116534.85,
REFRABEC INC.,5,,,"HAMON DELTAK, INC.",97841.1,,,764901056,204078,,,768141000,115462.98,
QUADNA,5,,,E. O. WOOD CO,96642,,,779952186,202744.08,,,770222000,115333.57,
RHI-MONOFRAX LTD.,5,,,APPLIED INDUSTRIAL TECH.,93411.69,,,733572200,201550,,,754864016,114019.42,
NAVAL SURFACE WARFARE CTR,5,,,APEX DISTRIBUTING,90480,,,723960000,200927,,,764561000,113930.76,
OMI REFRACTORIES,5,,,BOILER TUBE OF AMERICA,90152.27,,,780250000,200494.04,,,770930000,113442.93,
PSP/MONOTECH INDUSTRIES,5,,,HERAEUS ELECTRO - NITE CO,89326.8,,,779958212,200475,,,764601010,113111.18,
"IRWIN INTERNATIONAL, INC.",5,,,LIBERTY REFRACTORY,88692,,,739681100,198059.1,,,734900000,112882.66,
INLINE PRO SERVICES,5,,,MID-TEX DISTRIBUTING INC,88645.5,,,764901073,198012.7,,,742520150,112290.88,
FIRELINE INC,5,,,CLYDE BERGEMANN BACHMANN,87342.95,,,768242007,196744,,,724281410,111494.84,
E I DUPONT DE NEMOURS &,5,,,SPECIALTY PRODUCTS INSUL,85096.6,,,770560000,196014.6,,,768221010,111006.03,
HEARTH & HOME TECHNOLOGIE,5,,,ALSIPS BUILDING PRODUCTS,84380,,,764561000,195482.99,,,770240000,110728.02,
FIRELINE 520,5,,,SCHAD BOILER SETTING CO.,84101.53,,,779952600,194903.7,,,770430000,110465.23,
JOHNSON PACKINGS & INDUST,5,,,E.K.S. PARTS INC.,83950.05,,,779958169,194821.31,,,768221120,110217.75,
GREAT LAKES PUMP & SEAL,5,,,BASIC RESOURCES INC.,83220.13,,,768141000,194698.11,,,780250000,109762.4,
BASIC RUBBER & PLASTIC,5,,,GRAVER TECHNOLOGIES,82980,,,733572750,193129.11,,,733403300,109639.48,
ATLANTECH,5,,,CHASE CORPORATION-GLOBAL,82980,,,754844006,192535.2,,,724007000,107625.38,
DATA CENTER RESOURCES LLC,5,,,A G C INC.,81982.46,,,726020042,192497.85,,,739641100,107201.51,
BLUE STREAK FAB &,5,,,ONEX INC,79812,,,766211000,191701.6,,,768251210,106639.36,
BOILER TUBE OF AMERICA,5,,,MOTION INDUSTRIES,77549.76,,,768221010,187937,,,734851000,106548.82,
SW ANDERSON SALES,4,,,PARAGON PACIFIC INSULATIO,76505,,,764020110,186719,,,770260000,105912.01,
UNIFRAX FRANCE,4,,,LMB INDUSTRIAL SERVICES,74767.72,,,734251300,186166.03,,,764482000,105510.16,
WESCO DISTRIBUTION INC.,4,,,SPECIALTY GASKETS INC.,74558.25,,,740382101,185948.64,,,764862000,105368.03,
THERMALTEK INC,4,,,CARRIER ENTERPRISE NE LLC,73756.1,,,734761300,185632.17,,,764609500,104479.85,
STRAUCH CHEMICAL DISTRIBU,4,,,MINTEQ INTERNATIONAL INC.,72729,,,740283401,184100.62,,,733182300,104247.31,
SPECIALTY PROD. INSULATIO,4,,,FAURECIA EXHAUST MEXICANA,72544.5,,,733403300,183146.48,,,779958212,104126.38,
SAINT-GOBAIN,4,,,FRAS-LE NORTH AMERICA INC,72085.68,,,766594001,182022,,,764221000,104055.17,
THOMPSON IG,4,,,KELLER TECHNOLOGY,71636.14,,,768242010,182008,,,770500000,101817.04,
SNYDER CONTRACTORS,4,,,ENERGYSOLUTIONS US,71552.2,,,782070000,181892.72,,,764901056,101406.4,
SAM DONG GEORGIA INC.,4,,,BUILDING SERVICE IND,71238,,,768241800,181005.95,,,779952600,101333.07,
UNIFRAX LTD.,4,,,ATI FABRICATED COMPONENTS,68580,,,768221130,176500.8,,,726020015,101278.84,
SPECIALTY PRODUCTS INSUL,4,,,STEWART ENGINEERS,65447.52,,,740025000,174323.64,,,768242010,100567.44,
STRIPE WORKS,4,,,UNILUX ADVANCED,65413.5,,,733182300,173594.64,,,768122200,100170.89,
STANDARD STEEL CORP,4,,,HAZELETT STRIP CASTING CO,63568.48,,,733571000,172566.72,,,792627000,99741.66,
VIRGINIA-CAROLINA REF INC,4,,,CBOL CORPORATION,62975.02,,,764609500,172552.5,,,791104295,98260.25,
TRANSCO PRODUCTS INC,4,,,REFRACTORY MAINTENANCE CO,61825.25,,,792627000,172084.77,,,727000440,97741.85,
WASHINGTON MILLS,4,,,OMI REFRACTORIES,60213.04,,,764482000,171669.3,,,766126012,97177.88,
